wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
16.4000000000,16400.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9555733355,0.0000000000,0.0444266645,0.9678630748,0.0000000000,0.0321369252,0.0321369252,0.0444266645,0.0122897393,1.0000000000,1.0000000000
16.4012000000,16401.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9550748087,0.0000000000,0.0449251913,0.9678990034,0.0000000000,0.0321009966,0.0321009966,0.0449251913,0.0128241948,1.0000000000,1.0000000000
16.4024000000,16402.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9545281459,0.0000000000,0.0454718541,0.9679347224,0.0000000000,0.0320652776,0.0320652776,0.0454718541,0.0134065765,1.0000000000,1.0000000000
16.4036000000,16403.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9539278208,0.0000000000,0.0460721792,0.9679702317,0.0000000000,0.0320297683,0.0320297683,0.0460721792,0.0140424110,1.0000000000,1.0000000000
16.4048000000,16404.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9532675684,0.0000000000,0.0467324316,0.9680055312,0.0000000000,0.0319944688,0.0319944688,0.0467324316,0.0147379627,1.0000000000,1.0000000000
16.4060000000,16406.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9525402861,0.0000000000,0.0474597139,0.9680406206,0.0000000000,0.0319593794,0.0319593794,0.0474597139,0.0155003345,1.0000000000,1.0000000000
16.4072000000,16407.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9517379244,0.0000000000,0.0482620756,0.9680754998,0.0000000000,0.0319245002,0.0319245002,0.0482620756,0.0163375754,1.0000000000,1.0000000000
16.4084000000,16408.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9508513719,0.0000000000,0.0491486281,0.9681101685,0.0000000000,0.0318898315,0.0318898315,0.0491486281,0.0172587966,1.0000000000,1.0000000000
16.4096000000,16409.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9498703392,0.0000000000,0.0501296608,0.9681446266,0.0000000000,0.0318553734,0.0318553734,0.0501296608,0.0182742874,1.0000000000,1.0000000000
16.4108000000,16410.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9487832485,0.0000000000,0.0512167515,0.9681788737,0.0000000000,0.0318211263,0.0318211263,0.0512167515,0.0193956253,1.0000000000,1.0000000000
16.4120000000,16412.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9475771460,0.0000000000,0.0524228540,0.9682129097,0.0000000000,0.0317870903,0.0317870903,0.0524228540,0.0206357637,1.0000000000,1.0000000000
16.4132000000,16413.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9462376582,0.0000000000,0.0537623418,0.9682467342,0.0000000000,0.0317532658,0.0317532658,0.0537623418,0.0220090760,1.0000000000,1.0000000000
16.4144000000,16414.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9447490287,0.0000000000,0.0552509713,0.9682803469,0.0000000000,0.0317196531,0.0317196531,0.0552509713,0.0235313182,1.0000000000,1.0000000000
16.4156000000,16415.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9430942915,0.0000000000,0.0569057085,0.9683137476,0.0000000000,0.0316862524,0.0316862524,0.0569057085,0.0252194561,1.0000000000,1.0000000000
16.4168000000,16416.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9412556593,0.0000000000,0.0587443407,0.9683469359,0.0000000000,0.0316530641,0.0316530641,0.0587443407,0.0270912766,1.0000000000,1.0000000000
16.4180000000,16418.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9392152452,0.0000000000,0.0607847548,0.9683799115,0.0000000000,0.0316200885,0.0316200885,0.0607847548,0.0291646663,1.0000000000,1.0000000000
16.4192000000,16419.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9369562753,0.0000000000,0.0630437247,0.9684126740,0.0000000000,0.0315873260,0.0315873260,0.0630437247,0.0314563988,1.0000000000,1.0000000000
16.4204000000,16420.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9344650009,0.0000000000,0.0655349991,0.9684452231,0.0000000000,0.0315547769,0.0315547769,0.0655349991,0.0339802222,1.0000000000,1.0000000000
16.4216000000,16421.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9317335599,0.0000000000,0.0682664401,0.9684775583,0.0000000000,0.0315224417,0.0315224417,0.0682664401,0.0367439984,1.0000000000,1.0000000000
16.4228000000,16422.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9287640432,0.0000000000,0.0712359568,0.9685096793,0.0000000000,0.0314903207,0.0314903207,0.0712359568,0.0397456361,1.0000000000,1.0000000000
16.4240000000,16424.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9255739436,0.0000000000,0.0744260564,0.9685415857,0.0000000000,0.0314584143,0.0314584143,0.0744260564,0.0429676421,1.0000000000,1.0000000000
16.4252000000,16425.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9222029219,0.0000000000,0.0777970781,0.9685732771,0.0000000000,0.0314267229,0.0314267229,0.0777970781,0.0463703552,1.0000000000,1.0000000000
16.4264000000,16426.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9187203090,0.0000000000,0.0812796910,0.9686047530,0.0000000000,0.0313952470,0.0313952470,0.0812796910,0.0498844439,1.0000000000,1.0000000000
16.4276000000,16427.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9152319128,0.0000000000,0.0847680872,0.9686360129,0.0000000000,0.0313639871,0.0313639871,0.0847680872,0.0534041001,1.0000000000,1.0000000000
16.4288000000,16428.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9118835745,0.0000000000,0.0881164255,0.9686670565,0.0000000000,0.0313329435,0.0313329435,0.0881164255,0.0567834820,1.0000000000,1.0000000000
16.4300000000,16430.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9088579408,0.0000000000,0.0911420592,0.9686978833,0.0000000000,0.0313021167,0.0313021167,0.0911420592,0.0598399425,1.0000000000,1.0000000000
16.4312000000,16431.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9063609224,0.0000000000,0.0936390776,0.9687284928,0.0000000000,0.0312715072,0.0312715072,0.0936390776,0.0623675703,1.0000000000,1.0000000000
16.4324000000,16432.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9045963741,0.0000000000,0.0954036259,0.9687588844,0.0000000000,0.0312411156,0.0312411156,0.0954036259,0.0641625103,1.0000000000,1.0000000000
16.4336000000,16433.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9037320459,0.0000000000,0.0962679541,0.9687890577,0.0000000000,0.0312109423,0.0312109423,0.0962679541,0.0650570118,1.0000000000,1.0000000000
16.4348000000,16434.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9038653737,0.0000000000,0.0961346263,0.9688190122,0.0000000000,0.0311809878,0.0311809878,0.0961346263,0.0649536385,1.0000000000,1.0000000000
16.4360000000,16436.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9050007622,0.0000000000,0.0949992378,0.9688487474,0.0000000000,0.0311512526,0.0311512526,0.0949992378,0.0638479851,1.0000000000,1.0000000000
16.4372000000,16437.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9070474277,0.0000000000,0.0929525723,0.9688782626,0.0000000000,0.0311217374,0.0311217374,0.0929525723,0.0618308349,1.0000000000,1.0000000000
16.4384000000,16438.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9098389190,0.0000000000,0.0901610810,0.9689075574,0.0000000000,0.0310924426,0.0310924426,0.0901610810,0.0590686384,1.0000000000,1.0000000000
16.4396000000,16439.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9131667073,0.0000000000,0.0868332927,0.9689366312,0.0000000000,0.0310633688,0.0310633688,0.0868332927,0.0557699239,1.0000000000,1.0000000000
16.4408000000,16440.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9168160162,0.0000000000,0.0831839838,0.9689654834,0.0000000000,0.0310345166,0.0310345166,0.0831839838,0.0521494672,1.0000000000,1.0000000000
16.4420000000,16442.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9205939956,0.0000000000,0.0794060044,0.9689941135,0.0000000000,0.0310058865,0.0310058865,0.0794060044,0.0484001178,1.0000000000,1.0000000000
