wavelength_um,R,T,A,R_plus_T_plus_A
1.000000000000000000e+00,8.979998060783702662e-01,6.422420805744408993e-05,1.019359697135722859e-01,1.000000000000000000e+00
1.000250000000000083e+00,8.979694226261434320e-01,6.412212025048058713e-05,1.019664552536060920e-01,1.000000000000000000e+00
1.000499999999999945e+00,8.979335967159919329e-01,6.402003623587959938e-05,1.020023832477721937e-01,1.000000000000000000e+00
1.000750000000000028e+00,8.978923709439105005e-01,6.391795581884314578e-05,1.020437111002706621e-01,1.000000000000000000e+00
1.000999999999999890e+00,8.978457859206004921e-01,6.381587876858159575e-05,1.020903982006309274e-01,1.000000000000000000e+00
1.001249999999999973e+00,8.977938803161878978e-01,6.371380482062955202e-05,1.021424058789914685e-01,1.000000000000000000e+00
1.001500000000000057e+00,8.977366909041890608e-01,6.361173367904075012e-05,1.021996973621318999e-01,1.000000000000000000e+00
1.001749999999999918e+00,8.976742526039358516e-01,6.350966501846841200e-05,1.022622377310456743e-01,1.000000000000000000e+00
1.002000000000000002e+00,8.976065985222536625e-01,6.340759848614314247e-05,1.023299938792602004e-01,1.000000000000000000e+00
1.002250000000000085e+00,8.975337599938429944e-01,6.330553370373550725e-05,1.024029344724532720e-01,1.000000000000000000e+00
1.002499999999999947e+00,8.974557666205467132e-01,6.320347026913248462e-05,1.024810299091841598e-01,1.000000000000000000e+00
1.002750000000000030e+00,8.973726463096731720e-01,6.310140775812242409e-05,1.025642522825686992e-01,1.000000000000000000e+00
1.002999999999999892e+00,8.972844253111632584e-01,6.299934572598935207e-05,1.026525753431107579e-01,1.000000000000000000e+00
1.003249999999999975e+00,8.971911282535854903e-01,6.289728370902799540e-05,1.027459744627054750e-01,1.000000000000000000e+00
1.003500000000000059e+00,8.970927781794307831e-01,6.279522122599182814e-05,1.028444265993432305e-01,1.000000000000000000e+00
1.003749999999999920e+00,8.969893965789556001e-01,6.269315777945703863e-05,1.029479102632649412e-01,1.000000000000000000e+00
1.004000000000000004e+00,8.968810034233161144e-01,6.259109285713392620e-05,1.030564054838267463e-01,1.000000000000000000e+00
1.004250000000000087e+00,8.967676171966247889e-01,6.248902593310112980e-05,1.031698937774421093e-01,1.000000000000000000e+00
1.004499999999999948e+00,8.966492549269718948e-01,6.238695646900387472e-05,1.032883581165591064e-01,1.000000000000000000e+00
1.004750000000000032e+00,8.965259322165601841e-01,6.228488391517242198e-05,1.034117828995246430e-01,1.000000000000000000e+00
1.004999999999999893e+00,8.963976632708843262e-01,6.218280771171993146e-05,1.035401539214039490e-01,1.000000000000000000e+00
1.005249999999999977e+00,8.962644609269830864e-01,6.208072728955864393e-05,1.036734583457273595e-01,1.000000000000000000e+00
1.005500000000000060e+00,8.961263366808149833e-01,6.197864207141466717e-05,1.038116846771136026e-01,1.000000000000000000e+00
1.005749999999999922e+00,8.959833007136488447e-01,6.187655147276636654e-05,1.039548227348783827e-01,1.000000000000000000e+00
1.006000000000000005e+00,8.958353619178310856e-01,6.177445490276788835e-05,1.041028636272661456e-01,1.000000000000000000e+00
1.006250000000000089e+00,8.956825279214420954e-01,6.167235176513962867e-05,1.042557997267927611e-01,1.000000000000000000e+00
