wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
15.0000000000,15000.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9464717750,0.0000000000,0.0535282250,0.8319455227,0.0000000000,0.1680544773,0.1680544773,0.0535282250,0.1145262523,1.0000000000,1.0000000000
15.0010000000,15001.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9466438778,0.0000000000,0.0533561222,0.8310788629,0.0000000000,0.1689211371,0.1689211371,0.0533561222,0.1155650149,1.0000000000,1.0000000000
15.0020000000,15002.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9468354078,0.0000000000,0.0531645922,0.8304106491,0.0000000000,0.1695893509,0.1695893509,0.0531645922,0.1164247588,1.0000000000,1.0000000000
15.0030000000,15003.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9470454012,0.0000000000,0.0529545988,0.8299408414,0.0000000000,0.1700591586,0.1700591586,0.0529545988,0.1171045598,1.0000000000,1.0000000000
15.0040000000,15004.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9472728029,0.0000000000,0.0527271971,0.8296678440,0.0000000000,0.1703321560,0.1703321560,0.0527271971,0.1176049590,1.0000000000,1.0000000000
15.0050000000,15005.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9475164808,0.0000000000,0.0524835192,0.8295885754,0.0000000000,0.1704114246,0.1704114246,0.0524835192,0.1179279054,1.0000000000,1.0000000000
15.0060000000,15006.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9477752399,0.0000000000,0.0522247601,0.8296985661,0.0000000000,0.1703014339,0.1703014339,0.0522247601,0.1180766738,1.0000000000,1.0000000000
15.0070000000,15007.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9480478369,0.0000000000,0.0519521631,0.8299920761,0.0000000000,0.1700079239,0.1700079239,0.0519521631,0.1180557608,1.0000000000,1.0000000000
15.0080000000,15008.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9483329947,0.0000000000,0.0516670053,0.8304622309,0.0000000000,0.1695377691,0.1695377691,0.0516670053,0.1178707638,1.0000000000,1.0000000000
15.0090000000,15009.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9486294163,0.0000000000,0.0513705837,0.8311011691,0.0000000000,0.1688988309,0.1688988309,0.0513705837,0.1175282472,1.0000000000,1.0000000000
15.0100000000,15010.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9489357985,0.0000000000,0.0510642015,0.8319001982,0.0000000000,0.1680998018,0.1680998018,0.0510642015,0.1170356002,1.0000000000,1.0000000000
15.0110000000,15011.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9492508438,0.0000000000,0.0507491562,0.8328499538,0.0000000000,0.1671500462,0.1671500462,0.0507491562,0.1164008900,1.0000000000,1.0000000000
15.0120000000,15012.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9495732724,0.0000000000,0.0504267276,0.8339405566,0.0000000000,0.1660594434,0.1660594434,0.0504267276,0.1156327158,1.0000000000,1.0000000000
15.0130000000,15013.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9499018324,0.0000000000,0.0500981676,0.8351617664,0.0000000000,0.1648382336,0.1648382336,0.0500981676,0.1147400660,1.0000000000,1.0000000000
