wavelength_um,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,eta,conservation_plus,conservation_minus
1.500000000000000000e+01,9.646433017763130779e-01,0.000000000000000000e+00,3.535669822368692206e-02,9.635687384049014259e-01,0.000000000000000000e+00,3.643126159509857409e-02,3.643126159509857409e-02,1.074563371411652035e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.500200000000000067e+01,9.646430468113046386e-01,0.000000000000000000e+00,3.535695318869536141e-02,9.635431210142502145e-01,0.000000000000000000e+00,3.645687898574978547e-02,3.645687898574978547e-02,1.099925797054424059e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.500399999999999956e+01,9.646414504372095022e-01,0.000000000000000000e+00,3.535854956279049777e-02,9.635152743217850757e-01,0.000000000000000000e+00,3.648472567821492429e-02,3.648472567821492429e-02,1.126176115424426527e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.500600000000000023e+01,9.646384832357078887e-01,0.000000000000000000e+00,3.536151676429211133e-02,9.634851252857008497e-01,0.000000000000000000e+00,3.651487471429915033e-02,3.651487471429915033e-02,1.153357950007039001e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.500799999999999912e+01,9.646341139814816890e-01,0.000000000000000000e+00,3.536588601851831104e-02,9.634525961655572290e-01,0.000000000000000000e+00,3.654740383444277096e-02,3.654740383444277096e-02,1.181517815924459924e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.500999999999999979e+01,9.646283095456351653e-01,0.000000000000000000e+00,3.537169045436483472e-02,9.634176041948122604e-01,0.000000000000000000e+00,3.658239580518773959e-02,3.658239580518773959e-02,1.210705350822904869e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.501200000000000045e+01,9.646210346762521537e-01,0.000000000000000000e+00,3.537896532374784631e-02,9.633800611189881069e-01,0.000000000000000000e+00,3.661993888101189309e-02,3.661993888101189309e-02,1.240973557264046789e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.501399999999999935e+01,9.646122518902481291e-01,0.000000000000000000e+00,3.538774810975187091e-02,9.633398728165781799e-01,0.000000000000000000e+00,3.666012718342182009e-02,3.666012718342182009e-02,1.272379073669949179e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.501600000000000001e+01,9.646019212631077311e-01,0.000000000000000000e+00,3.539807873689226891e-02,9.632969388013922218e-01,0.000000000000000000e+00,3.670306119860777816e-02,3.670306119860777816e-02,1.304982461715509245e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.501800000000000068e+01,9.645900002287112196e-01,0.000000000000000000e+00,3.540999977128878040e-02,9.632511517099393572e-01,0.000000000000000000e+00,3.674884829006064280e-02,3.674884829006064280e-02,1.338848518771862395e-03,1.000000000000000000e+00,1.000000000000000000e+00
