wavelength_um,metallic_tm_R,metallic_tm_T,metallic_tm_emissivity,metallic_te_R,metallic_te_T,metallic_te_emissivity,insulating_tm_R,insulating_tm_T,insulating_tm_emissivity,insulating_te_R,insulating_te_T,insulating_te_emissivity
8.000000000000000000e+00,1.718967973178716080e-01,4.740064384481206851e-03,8.233631382976472901e-01,2.967492556869457537e-02,1.762875841017286314e-03,9.685621985902881370e-01,9.843613308786348659e-01,7.314370588916223673e-03,8.324298532448910423e-03,9.810817501075352887e-01,6.443240923813832108e-03,1.247500896865087923e-02
8.005000000000000782e+00,1.726229136416005949e-01,4.812844963333056704e-03,8.225642413950663423e-01,2.988404412967957113e-02,1.760308150043726717e-03,9.683556477202767132e-01,9.843466706389036869e-01,7.341474850791233214e-03,8.311854510305079907e-03,9.810712900266813641e-01,6.450252116915543288e-03,1.247845785640309263e-02
8.009999999999999787e+00,1.733560599288569148e-01,4.887347641693577834e-03,8.217565924294494284e-01,3.009314616920599761e-02,1.757755804971475495e-03,9.681490980258224965e-01,9.843316754433240057e-01,7.369405339052785726e-03,8.298919217623209471e-03,9.810608282320477658e-01,6.457258142145869302e-03,1.248191362580636579e-02
8.015000000000000568e+00,1.740961558272707821e-01,4.963615436814657576e-03,8.209402287359145456e-01,3.030222882578333110e-02,1.755218692765480627e-03,9.679425524814511128e-01,9.843163146486246795e-01,7.398208267183671756e-03,8.285477084191649605e-03,9.810503657107831899e-01,6.464258879859436681e-03,1.248537540935737433e-02
8.019999999999999574e+00,1.748431075177712957e-01,5.041692228586243212e-03,8.201152002536424845e-01,3.051128929847114063e-02,1.752696701481966683e-03,9.677360140000469402e-01,9.843005550590698816e-01,7.427933089664213832e-03,8.271511851265903742e-03,9.810399034312231592e-01,6.471254211933885440e-03,1.248884235684295449e-02
8.025000000000000355e+00,1.755968067711748404e-01,5.121622747456303602e-03,8.192815704813688482e-01,3.072032484570651201e-02,1.750189720255292992e-03,9.675294854340381612e-01,9.842843606868711959e-01,7.458632777749375949e-03,8.257006535379429052e-03,9.810294423433798539e-01,6.478244021729131705e-03,1.249231363489101444e-02
8.029999999999999361e+00,1.763571299506134782e-01,5.203452558619260995e-03,8.184394174907672070e-01,3.092933278414988774e-02,1.747697639284985721e-03,9.673229695765651615e-01,9.842676924869089294e-01,7.490364122985332211e-03,8.241943390105737482e-03,9.810189833793856451e-01,6.485228194048409285e-03,1.249578842656594649e-02
8.035000000000000142e+00,1.771239369575394740e-01,5.287228042093001547e-03,8.175888350003674976e-01,3.113831048756446340e-02,1.745220349822957078e-03,9.671164691626126242e-01,9.842505080625847391e-01,7.523188071697932411e-03,8.226303865717328467e-03,9.810085274538912214e-01,6.492206615100646998e-03,1.249926593100813069e-02
8.039999999999999147e+00,1.778970701188970494e-01,5.372996368269240298e-03,8.167299335128336280e-01,3.134725538570935777e-02,1.742757744160942663e-03,9.669099868701296341e-01,9.842327613392704011e-01,7.557170094115142969e-03,8.210068566614455929e-03,9.809980754645488688e-01,6.499179172463868601e-03,1.250274536298726265e-02
8.044999999999999929e+00,1.786763530131727507e-01,5.460805468496109094e-03,8.158628415183311056e-01,3.155616496326194009e-02,1.740309715618069139e-03,9.667035253211199164e-01,9.842144022012542237e-01,7.592380592279957853e-03,8.193217206465819302e-03,9.809876282923668533e-01,6.506145755050297963e-03,1.250622595258284869e-02
8.050000000000000711e+00,1.794615892330553020e-01,5.550704000213780437e-03,8.149877067667309349e-01,3.176503675875853860e-02,1.737876158528691871e-03,9.664970870827127580e-01,9.841953760875524759e-01,7.628895351478488795e-03,8.175728560969035275e-03,9.809771868021155417e-01,6.513106253072854616e-03,1.250970694481160286e-02
8.054999999999999716e+00,1.802525610823925428e-01,5.642741306132175762e-03,8.141046976114753031e-01,3.197386836355848444e-02,1.735456968230303897e-03,9.662906746682111692e-01,9.841756235412943976e-01,7.666796040566553616e-03,8.157580418139048772e-03,9.809667518427229727e-01,6.520060558011957219e-03,1.251318759926507013e-02
8.060000000000000497e+00,1.810490282053819067e-01,5.736967366901355586e-03,8.132140044277167412e-01,3.218265742082992986e-02,1.733052041051724420e-03,9.660842905381183954e-01,9.841550797065382605e-01,7.706170767336751465e-03,8.138749526124988004e-03,9.809563242476315725e-01,6.527008562584628998e-03,1.251666718978379847e-02
8.064999999999999503e+00,1.818522475343160028e-01,5.833881904021753252e-03,8.123138705616621547e-01,3.239312435542669733e-02,1.730630614299584220e-03,9.658762450302736946e-01,9.841335542135594139e-01,7.747263269485037476e-03,8.119182516955548642e-03,9.809457879234183553e-01,6.533937872204480593e-03,1.252027420437716414e-02
8.070000000000000284e+00,1.826746595157885678e-01,5.937276122906276314e-03,8.113880643613051724e-01,3.261907466959002716e-02,1.727948367394034884e-03,9.656529769630159965e-01,9.841099641896315919e-01,7.791461340189395277e-03,8.098574470179012788e-03,9.809342135389599315e-01,6.540748525563130217e-03,1.252503793547693825e-02
8.074999999999999289e+00,1.835026904388767921e-01,6.043286942558632850e-03,8.104540226185645846e-01,3.284502202645737945e-02,1.725281996168612610e-03,9.654296959773740472e-01,9.840852509397137737e-01,7.837631242199018938e-03,8.077117818087207329e-03,9.809226583636203589e-01,6.547549737951018599e-03,1.252979189842862162e-02
8.080000000000000071e+00,1.843359585493312414e-01,6.151977360559119333e-03,8.095120640901095621e-01,3.307096320718731775e-02,1.722631384303435721e-03,9.652064054085093270e-01,9.840593061477177494e-01,7.885914373903794156e-03,8.054779478378456398e-03,9.809111232475898889e-01,6.554341391579480633e-03,1.253453536083063043e-02
8.085000000000000853e+00,1.851740449641036956e-01,6.263410866402876163e-03,8.085625441694933579e-01,3.329689505870325750e-02,1.719996416573013392e-03,9.649831085247236873e-01,9.840320103758696257e-01,7.936464938466900390e-03,8.031524685663473870e-03,9.808996090257953160e-01,6.561123369963866268e-03,1.253926760424081688e-02
8.089999999999999858e+00,1.860164912653819447e-01,6.377651316386525292e-03,8.076058574182315430e-01,3.352281449244157163e-02,1.717376978833772775e-03,9.647598085287246716e-01,9.840032317402211959e-01,7.989451358111149953e-03,8.007316901667654169e-03,9.808881165182073980e-01,6.567895557895878610e-03,1.254398792389672251e-02
8.095000000000000639e+00,1.868627969791956944e-01,6.494762792475199456e-03,8.066424402283290940e-01,3.374871848312327449e-02,1.714772958011821172e-03,9.645365085588648579e-01,9.839728244034697813e-01,8.045057873855532629e-03,7.982117722674686097e-03,9.808766465302027893e-01,6.574657841414883325e-03,1.254869562838232741e-02
8.099999999999999645e+00,1.877124169376930829e-01,6.614809443791565269e-03,8.056727736185153033e-01,3.397460406755457851e-02,1.712184242090841139e-03,9.643132116903545548e-01,9.839406268561041724e-01,8.103486358996221661e-03,7.955886784899605935e-03,9.808651998528602478e-01,6.581410107781905140e-03,1.255339003935784792e-02
8.105000000000000426e+00,1.885647585249143887e-01,6.737855309291815309e-03,8.046973861657937821e-01,3.420046834344658837e-02,1.709610720100161220e-03,9.640899209364532929e-01,9.839064599518078102e-01,8.164958379572347449e-03,7.928581668619842301e-03,9.808537772632881513e-01,6.588152245453521988e-03,1.255807049125832672e-02
8.109999999999999432e+00,1.894191788069619353e-01,6.863964120122527553e-03,8.037168570729155137e-01,3.442630846826195967e-02,1.707052282102950293e-03,9.638666392496350044e-01,9.838701246567025382e-01,8.229717540980526977e-03,7.900157802316934777e-03,9.808423795249292532e-01,6.594884144057169481e-03,1.256273633101357735e-02
8.115000000000000213e+00,1.902749815484658935e-01,6.993199080080086949e-03,8.027318193714539918e-01,3.465212165808514988e-02,1.704508819184622458e-03,9.636433695227302199e-01,9.838313994645788707e-01,8.298032167025683539e-03,7.870568368395445755e-03,9.808310073878411250e-01,6.601605694367353519e-03,1.256738691779152144e-02
8.119999999999999218e+00,1.911314141185022353e-01,7.125622622525060006e-03,8.017429632589727628e-01,3.487790518651202876e-02,1.701980223441335819e-03,9.634201145900466168e-01,9.837900374210163390e-01,8.370198366281566410e-03,7.839764212702094587e-03,9.808196615889985814e-01,6.608316788282124835e-03,1.257202162271929373e-02
8.125000000000000000e+00,1.919876642906293007e-01,7.261296142048713487e-03,8.007510395673219650e-01,3.510365638356588436e-02,1.699466387968697487e-03,9.631968772284654756e-01,9.837457626883043815e-01,8.446543551028791105e-03,7.807693760666827368e-03,9.808083428525612435e-01,6.615017318801466942e-03,1.257663982863728956e-02
8.130000000000000782e+00,1.928428569434235684e-01,7.400279699129742005e-03,7.997568633574467789e-01,3.532937263463115790e-02,1.696967206850584584e-03,9.629736601585182632e-01,9.836982665695497285e-01,8.527430486666213311e-03,7.774302943784058145e-03,9.807970518901427681e-01,6.621707180005128104e-03,1.258124092985210378e-02
8.134999999999999787e+00,1.936960506697081585e-01,7.542631695983227809e-03,7.987613176343085764e-01,3.555505137941250560e-02,1.694482575148083215e-03,9.627504660454394569e-01,9.836472028937255363e-01,8.613261964886178429e-03,7.739535141388285272e-03,9.807857894010816313e-01,6.628386267032426553e-03,1.258582433188594127e-02
8.140000000000000568e+00,1.945462343049406406e-01,7.688408521772818402e-03,7.977653571732865601e-01,3.578069011091088159e-02,1.692012388888682224e-03,9.625272975002003850e-01,9.835921826432206805e-01,8.704486212754495439e-03,7.703331144024824079e-03,9.807745560726817136e-01,6.635054476061864881e-03,1.259038945125642156e-02
8.144999999999999574e+00,1.953923233876215249e-01,7.837664165345705272e-03,7.967700124470327161e-01,3.600628637442087471e-02,1.689556545055450037e-03,9.623041570805237477e-01,9.835327676802750885e-01,8.801603173014734341e-03,7.665629146710177186e-03,9.807633525804771990e-01,6.641711704292282276e-03,1.259493571523051872e-02
8.150000000000000355e+00,1.962331565673633704e-01,7.990449793660127364e-03,7.957763936389764536e-01,3.623183776655151955e-02,1.687114941576485592e-03,9.620810472918720491e-01,9.834684633976482626e-01,8.905171819546371659e-03,7.626364782805365727e-03,9.807521795884512894e-01,6.648357849923826335e-03,1.259946256162488426e-02
8.154999999999999361e+00,1.970674919792572422e-01,8.146813294105957615e-03,7.947856947266368488e-01,3.645734193425974323e-02,1.684687477314421311e-03,9.618579705884258146e-01,9.833987100801587777e-01,9.015818707399193138e-03,7.585471212442029126e-03,9.807410377492881137e-01,6.654992812140145264e-03,1.260396943857174101e-02
8.160000000000000142e+00,1.978940036066180463e-01,8.306798778983409681e-03,7.937991976143985440e-01,3.668279657391088772e-02,1.682274052056143129e-03,9.616349293740329429e-01,9.833228727153840998e-01,9.134248001058492897e-03,7.542879283557407319e-03,9.807299277045884445e-01,6.661616491091225389e-03,1.260845580432033014e-02
